;display;magnMap;parMap;greatMap;lessMap;oddMap;evenMap;firstFig;secondFig;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;task;ANSWER;cocoa;cue0FileName;blockN;trialN;breakMessage;mappingsGuide
0;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is greater or less than 5.;## When the rectangle is vertical, your task is to tell whether the number is odd or even.;## Press A to indicate greater than 5.;## Press L to indicate less than 5.;## Press L to indicate odd.;## Press A to indicate even.;blackblackhori.png;blackblackvert.png;;;;;;;;;;;;;;horiAL.png
1;training;;;;;;;;;black;black;hori;2;blackblackhori.png;blackblackhori2.png;magnit;L;;;;;;horiAL.png
2;training;;;;;;;;;black;black;hori;8;blackblackhori.png;blackblackhori8.png;magnit;A;;;;;;horiAL.png
3;training;;;;;;;;;black;black;vert;7;blackblackvert.png;blackblackvert7.png;parity;L;;;;;;horiAL.png
4;training;;;;;;;;;black;black;hori;9;blackblackhori.png;blackblackhori9.png;magnit;A;;;;;;horiAL.png
5;training;;;;;;;;;black;black;vert;6;blackblackvert.png;blackblackvert6.png;parity;A;;;;;;horiAL.png
6;training;;;;;;;;;black;black;hori;7;blackblackhori.png;blackblackhori7.png;magnit;A;;;;;;horiAL.png
7;training;;;;;;;;;black;black;vert;8;blackblackvert.png;blackblackvert8.png;parity;A;;;;;;horiAL.png
8;training;;;;;;;;;black;black;hori;3;blackblackhori.png;blackblackhori3.png;magnit;L;;;;;;horiAL.png
9;training;;;;;;;;;black;black;hori;1;blackblackhori.png;blackblackhori1.png;magnit;L;;;;;;horiAL.png
10;training;;;;;;;;;black;black;vert;3;blackblackvert.png;blackblackvert3.png;parity;L;;;;;;horiAL.png
11;training;;;;;;;;;black;black;hori;6;blackblackhori.png;blackblackhori6.png;magnit;A;;;;;;horiAL.png
12;training;;;;;;;;;black;black;vert;4;blackblackvert.png;blackblackvert4.png;parity;A;;;;;;horiAL.png
13;training;;;;;;;;;black;black;vert;2;blackblackvert.png;blackblackvert2.png;parity;A;;;;;;horiAL.png
14;training;;;;;;;;;black;black;vert;9;blackblackvert.png;blackblackvert9.png;parity;L;;;;;;horiAL.png
15;training;;;;;;;;;black;black;hori;4;blackblackhori.png;blackblackhori4.png;magnit;L;;;;;;horiAL.png
16;training;;;;;;;;;black;black;vert;1;blackblackvert.png;blackblackvert1.png;parity;L;;;;;;horiAL.png
17;start;;;;;;;;;;;;;;;;;;;;;;horiAL.png
18;trial;;;;;;;;;red;black;hori;9;redblackhori.png;redblackhori9.png;magnit;A;300;blackblackhori.png;0.0;0.0;;horiAL.png
19;trial;;;;;;;;;red;black;vert;2;redblackvert.png;redblackvert2.png;parity;A;300;blackblackvert.png;0.0;1.0;;horiAL.png
20;trial;;;;;;;;;red;black;hori;6;redblackhori.png;redblackhori6.png;magnit;A;300;blackblackhori.png;0.0;2.0;;horiAL.png
21;trial;;;;;;;;;blue;black;hori;2;blueblackhori.png;blueblackhori2.png;magnit;L;300;blackblackhori.png;0.0;3.0;;horiAL.png
22;trial;;;;;;;;;blue;black;hori;3;blueblackhori.png;blueblackhori3.png;magnit;L;300;blackblackhori.png;0.0;4.0;;horiAL.png
23;trial;;;;;;;;;red;black;hori;1;redblackhori.png;redblackhori1.png;magnit;L;300;blackblackhori.png;0.0;5.0;;horiAL.png
24;trial;;;;;;;;;red;black;vert;6;redblackvert.png;redblackvert6.png;parity;A;300;blackblackvert.png;0.0;6.0;;horiAL.png
25;trial;;;;;;;;;blue;black;hori;1;blueblackhori.png;blueblackhori1.png;magnit;L;300;blackblackhori.png;0.0;7.0;;horiAL.png
26;trial;;;;;;;;;blue;black;vert;3;blueblackvert.png;blueblackvert3.png;parity;L;300;blackblackvert.png;0.0;8.0;;horiAL.png
27;trial;;;;;;;;;red;black;vert;4;redblackvert.png;redblackvert4.png;parity;A;300;blackblackvert.png;0.0;9.0;;horiAL.png
28;trial;;;;;;;;;red;black;hori;8;redblackhori.png;redblackhori8.png;magnit;A;300;blackblackhori.png;0.0;10.0;;horiAL.png
29;trial;;;;;;;;;red;black;hori;3;redblackhori.png;redblackhori3.png;magnit;L;300;blackblackhori.png;0.0;11.0;;horiAL.png
30;trial;;;;;;;;;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;parity;L;300;blackblackvert.png;0.0;12.0;;horiAL.png
31;trial;;;;;;;;;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;parity;A;300;blackblackvert.png;0.0;13.0;;horiAL.png
32;trial;;;;;;;;;blue;black;hori;3;blueblackhori.png;blueblackhori3.png;magnit;L;300;blackblackhori.png;0.0;14.0;;horiAL.png
33;trial;;;;;;;;;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;parity;A;300;blackblackvert.png;0.0;15.0;;horiAL.png
34;trial;;;;;;;;;blue;black;hori;3;blueblackhori.png;blueblackhori3.png;magnit;L;300;blackblackhori.png;0.0;16.0;;horiAL.png
35;trial;;;;;;;;;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;parity;A;300;blackblackvert.png;0.0;17.0;;horiAL.png
36;trial;;;;;;;;;red;black;vert;3;redblackvert.png;redblackvert3.png;parity;L;300;blackblackvert.png;0.0;18.0;;horiAL.png
37;trial;;;;;;;;;blue;black;hori;7;blueblackhori.png;blueblackhori7.png;magnit;A;300;blackblackhori.png;0.0;19.0;;horiAL.png
38;trial;;;;;;;;;red;black;vert;1;redblackvert.png;redblackvert1.png;parity;L;300;blackblackvert.png;0.0;20.0;;horiAL.png
39;trial;;;;;;;;;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;parity;A;300;blackblackvert.png;0.0;21.0;;horiAL.png
40;trial;;;;;;;;;blue;black;hori;9;blueblackhori.png;blueblackhori9.png;magnit;A;300;blackblackhori.png;0.0;22.0;;horiAL.png
41;trial;;;;;;;;;blue;black;vert;1;blueblackvert.png;blueblackvert1.png;parity;L;300;blackblackvert.png;0.0;23.0;;horiAL.png
42;trial;;;;;;;;;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;parity;L;300;blackblackvert.png;0.0;24.0;;horiAL.png
43;trial;;;;;;;;;blue;black;hori;6;blueblackhori.png;blueblackhori6.png;magnit;A;300;blackblackhori.png;0.0;25.0;;horiAL.png
44;trial;;;;;;;;;blue;black;hori;9;blueblackhori.png;blueblackhori9.png;magnit;A;300;blackblackhori.png;0.0;26.0;;horiAL.png
45;trial;;;;;;;;;red;black;vert;4;redblackvert.png;redblackvert4.png;parity;A;300;blackblackvert.png;0.0;27.0;;horiAL.png
46;trial;;;;;;;;;blue;black;hori;6;blueblackhori.png;blueblackhori6.png;magnit;A;300;blackblackhori.png;0.0;28.0;;horiAL.png
47;trial;;;;;;;;;red;black;hori;7;redblackhori.png;redblackhori7.png;magnit;A;300;blackblackhori.png;0.0;29.0;;horiAL.png
48;trial;;;;;;;;;red;black;vert;6;redblackvert.png;redblackvert6.png;parity;A;300;blackblackvert.png;0.0;30.0;;horiAL.png
49;trial;;;;;;;;;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;parity;L;300;blackblackvert.png;0.0;31.0;;horiAL.png
50;trial;;;;;;;;;red;black;hori;2;redblackhori.png;redblackhori2.png;magnit;L;300;blackblackhori.png;0.0;32.0;;horiAL.png
51;trial;;;;;;;;;red;black;vert;9;redblackvert.png;redblackvert9.png;parity;L;300;blackblackvert.png;0.0;33.0;;horiAL.png
52;trial;;;;;;;;;blue;black;hori;4;blueblackhori.png;blueblackhori4.png;magnit;L;300;blackblackhori.png;0.0;34.0;;horiAL.png
53;trial;;;;;;;;;blue;black;hori;7;blueblackhori.png;blueblackhori7.png;magnit;A;300;blackblackhori.png;0.0;35.0;;horiAL.png
54;trial;;;;;;;;;red;black;vert;8;redblackvert.png;redblackvert8.png;parity;A;300;blackblackvert.png;0.0;36.0;;horiAL.png
55;trial;;;;;;;;;blue;black;vert;6;blueblackvert.png;blueblackvert6.png;parity;A;300;blackblackvert.png;0.0;37.0;;horiAL.png
56;trial;;;;;;;;;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;parity;L;300;blackblackvert.png;0.0;38.0;;horiAL.png
57;trial;;;;;;;;;blue;black;vert;6;blueblackvert.png;blueblackvert6.png;parity;A;300;blackblackvert.png;0.0;39.0;;horiAL.png
58;trial;;;;;;;;;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;parity;A;300;blackblackvert.png;0.0;40.0;;horiAL.png
59;trial;;;;;;;;;red;black;vert;9;redblackvert.png;redblackvert9.png;parity;L;300;blackblackvert.png;0.0;41.0;;horiAL.png
60;trial;;;;;;;;;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;parity;A;300;blackblackvert.png;0.0;42.0;;horiAL.png
61;trial;;;;;;;;;red;black;hori;6;redblackhori.png;redblackhori6.png;magnit;A;300;blackblackhori.png;0.0;43.0;;horiAL.png
62;trial;;;;;;;;;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;parity;L;300;blackblackvert.png;0.0;44.0;;horiAL.png
63;trial;;;;;;;;;red;black;vert;3;redblackvert.png;redblackvert3.png;parity;L;300;blackblackvert.png;0.0;45.0;;horiAL.png
64;trial;;;;;;;;;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;parity;A;300;blackblackvert.png;0.0;46.0;;horiAL.png
