;display;magnMap;parMap;greatMap;lessMap;oddMap;evenMap;firstFig;secondFig;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;task;ANSWER;cocoa;cue0FileName;blockN;trialN;breakMessage;mappingsGuide
0;Instructions;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate greater than 5.;## Press L to indicate less than 5.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;;;;;;;;;;;;vertAA.png
1;training;;;;;;;;;black;black;hori;4;blackblackhori.png;blackblackhori4.png;parity;L;;;;;;vertAA.png
2;training;;;;;;;;;black;black;hori;2;blackblackhori.png;blackblackhori2.png;parity;L;;;;;;vertAA.png
3;training;;;;;;;;;black;black;hori;7;blackblackhori.png;blackblackhori7.png;parity;A;;;;;;vertAA.png
4;training;;;;;;;;;black;black;vert;2;blackblackvert.png;blackblackvert2.png;magnit;L;;;;;;vertAA.png
5;training;;;;;;;;;black;black;vert;7;blackblackvert.png;blackblackvert7.png;magnit;A;;;;;;vertAA.png
6;training;;;;;;;;;black;black;vert;6;blackblackvert.png;blackblackvert6.png;magnit;A;;;;;;vertAA.png
7;training;;;;;;;;;black;black;hori;8;blackblackhori.png;blackblackhori8.png;parity;L;;;;;;vertAA.png
8;training;;;;;;;;;black;black;hori;6;blackblackhori.png;blackblackhori6.png;parity;L;;;;;;vertAA.png
9;training;;;;;;;;;black;black;vert;8;blackblackvert.png;blackblackvert8.png;magnit;A;;;;;;vertAA.png
10;training;;;;;;;;;black;black;hori;1;blackblackhori.png;blackblackhori1.png;parity;A;;;;;;vertAA.png
11;training;;;;;;;;;black;black;vert;4;blackblackvert.png;blackblackvert4.png;magnit;L;;;;;;vertAA.png
12;training;;;;;;;;;black;black;hori;3;blackblackhori.png;blackblackhori3.png;parity;A;;;;;;vertAA.png
13;training;;;;;;;;;black;black;hori;9;blackblackhori.png;blackblackhori9.png;parity;A;;;;;;vertAA.png
14;training;;;;;;;;;black;black;vert;3;blackblackvert.png;blackblackvert3.png;magnit;L;;;;;;vertAA.png
15;training;;;;;;;;;black;black;vert;9;blackblackvert.png;blackblackvert9.png;magnit;A;;;;;;vertAA.png
16;training;;;;;;;;;black;black;vert;1;blackblackvert.png;blackblackvert1.png;magnit;L;;;;;;vertAA.png
17;start;;;;;;;;;;;;;;;;;;;;;;vertAA.png
18;trial;;;;;;;;;black;red;hori;6;blackredhori.png;blackredhori6.png;parity;L;300;blackblackhori.png;0.0;0.0;;vertAA.png
19;trial;;;;;;;;;black;blue;hori;2;blackbluehori.png;blackbluehori2.png;parity;L;300;blackblackhori.png;0.0;1.0;;vertAA.png
20;trial;;;;;;;;;black;blue;vert;9;blackbluevert.png;blackbluevert9.png;magnit;A;300;blackblackvert.png;0.0;2.0;;vertAA.png
21;trial;;;;;;;;;black;blue;hori;3;blackbluehori.png;blackbluehori3.png;parity;A;300;blackblackhori.png;0.0;3.0;;vertAA.png
22;trial;;;;;;;;;black;blue;hori;6;blackbluehori.png;blackbluehori6.png;parity;L;300;blackblackhori.png;0.0;4.0;;vertAA.png
23;trial;;;;;;;;;black;blue;vert;2;blackbluevert.png;blackbluevert2.png;magnit;L;300;blackblackvert.png;0.0;5.0;;vertAA.png
24;trial;;;;;;;;;black;red;hori;1;blackredhori.png;blackredhori1.png;parity;A;300;blackblackhori.png;0.0;6.0;;vertAA.png
25;trial;;;;;;;;;black;blue;vert;3;blackbluevert.png;blackbluevert3.png;magnit;L;300;blackblackvert.png;0.0;7.0;;vertAA.png
26;trial;;;;;;;;;black;red;vert;6;blackredvert.png;blackredvert6.png;magnit;A;300;blackblackvert.png;0.0;8.0;;vertAA.png
27;trial;;;;;;;;;black;blue;vert;2;blackbluevert.png;blackbluevert2.png;magnit;L;300;blackblackvert.png;0.0;9.0;;vertAA.png
28;trial;;;;;;;;;black;red;hori;3;blackredhori.png;blackredhori3.png;parity;A;300;blackblackhori.png;0.0;10.0;;vertAA.png
29;trial;;;;;;;;;black;red;vert;9;blackredvert.png;blackredvert9.png;magnit;A;300;blackblackvert.png;0.0;11.0;;vertAA.png
30;trial;;;;;;;;;black;blue;hori;4;blackbluehori.png;blackbluehori4.png;parity;L;300;blackblackhori.png;0.0;12.0;;vertAA.png
31;trial;;;;;;;;;black;red;vert;7;blackredvert.png;blackredvert7.png;magnit;A;300;blackblackvert.png;0.0;13.0;;vertAA.png
32;trial;;;;;;;;;black;blue;vert;2;blackbluevert.png;blackbluevert2.png;magnit;L;300;blackblackvert.png;0.0;14.0;;vertAA.png
33;trial;;;;;;;;;black;red;hori;8;blackredhori.png;blackredhori8.png;parity;L;300;blackblackhori.png;0.0;15.0;;vertAA.png
34;trial;;;;;;;;;black;red;vert;7;blackredvert.png;blackredvert7.png;magnit;A;300;blackblackvert.png;0.0;16.0;;vertAA.png
35;trial;;;;;;;;;black;red;hori;4;blackredhori.png;blackredhori4.png;parity;L;300;blackblackhori.png;0.0;17.0;;vertAA.png
36;trial;;;;;;;;;black;blue;vert;8;blackbluevert.png;blackbluevert8.png;magnit;A;300;blackblackvert.png;0.0;18.0;;vertAA.png
