;display;magnMap;parMap;greatMap;lessMap;oddMap;evenMap;firstFig;secondFig;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;task;ANSWER;cocoa;cue0FileName;blockN;trialN;breakMessage;mappingsGuide
0;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is greater or less than 5.;## When the rectangle is vertical, your task is to tell whether the number is odd or even.;## Press A to indicate greater than 5.;## Press L to indicate less than 5.;## Press A to indicate odd.;## Press L to indicate even.;blackblackhori.png;blackblackvert.png;;;;;;;;;;;;;;horiAA.png
1;training;;;;;;;;;black;black;hori;1;blackblackhori.png;blackblackhori1.png;magnit;L;;;;;;horiAA.png
2;training;;;;;;;;;black;black;hori;6;blackblackhori.png;blackblackhori6.png;magnit;A;;;;;;horiAA.png
3;training;;;;;;;;;black;black;hori;3;blackblackhori.png;blackblackhori3.png;magnit;L;;;;;;horiAA.png
4;training;;;;;;;;;black;black;hori;9;blackblackhori.png;blackblackhori9.png;magnit;A;;;;;;horiAA.png
5;training;;;;;;;;;black;black;hori;8;blackblackhori.png;blackblackhori8.png;magnit;A;;;;;;horiAA.png
6;training;;;;;;;;;black;black;vert;6;blackblackvert.png;blackblackvert6.png;parity;L;;;;;;horiAA.png
7;training;;;;;;;;;black;black;vert;1;blackblackvert.png;blackblackvert1.png;parity;A;;;;;;horiAA.png
8;training;;;;;;;;;black;black;vert;3;blackblackvert.png;blackblackvert3.png;parity;A;;;;;;horiAA.png
9;training;;;;;;;;;black;black;vert;7;blackblackvert.png;blackblackvert7.png;parity;A;;;;;;horiAA.png
10;training;;;;;;;;;black;black;vert;8;blackblackvert.png;blackblackvert8.png;parity;L;;;;;;horiAA.png
11;training;;;;;;;;;black;black;hori;7;blackblackhori.png;blackblackhori7.png;magnit;A;;;;;;horiAA.png
12;training;;;;;;;;;black;black;hori;2;blackblackhori.png;blackblackhori2.png;magnit;L;;;;;;horiAA.png
13;training;;;;;;;;;black;black;vert;4;blackblackvert.png;blackblackvert4.png;parity;L;;;;;;horiAA.png
14;training;;;;;;;;;black;black;vert;9;blackblackvert.png;blackblackvert9.png;parity;A;;;;;;horiAA.png
15;training;;;;;;;;;black;black;vert;2;blackblackvert.png;blackblackvert2.png;parity;L;;;;;;horiAA.png
16;training;;;;;;;;;black;black;hori;4;blackblackhori.png;blackblackhori4.png;magnit;L;;;;;;horiAA.png
17;start;;;;;;;;;;;;;;;;;;;;;;horiAA.png
18;trial;;;;;;;;;red;black;hori;3;redblackhori.png;redblackhori3.png;magnit;L;0;redblackhori.png;0.0;0.0;;horiAA.png
19;trial;;;;;;;;;blue;black;hori;1;blueblackhori.png;blueblackhori1.png;magnit;L;0;blueblackhori.png;0.0;1.0;;horiAA.png
20;trial;;;;;;;;;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;parity;L;0;blueblackvert.png;0.0;2.0;;horiAA.png
21;trial;;;;;;;;;red;black;vert;1;redblackvert.png;redblackvert1.png;parity;A;0;redblackvert.png;0.0;3.0;;horiAA.png
22;trial;;;;;;;;;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;parity;L;0;blueblackvert.png;0.0;4.0;;horiAA.png
23;trial;;;;;;;;;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;parity;L;0;blueblackvert.png;0.0;5.0;;horiAA.png
24;trial;;;;;;;;;blue;black;hori;9;blueblackhori.png;blueblackhori9.png;magnit;A;0;blueblackhori.png;0.0;6.0;;horiAA.png
25;trial;;;;;;;;;red;black;hori;8;redblackhori.png;redblackhori8.png;magnit;A;0;redblackhori.png;0.0;7.0;;horiAA.png
26;trial;;;;;;;;;red;black;hori;4;redblackhori.png;redblackhori4.png;magnit;L;0;redblackhori.png;0.0;8.0;;horiAA.png
27;trial;;;;;;;;;red;black;hori;8;redblackhori.png;redblackhori8.png;magnit;A;0;redblackhori.png;0.0;9.0;;horiAA.png
28;trial;;;;;;;;;blue;black;hori;2;blueblackhori.png;blueblackhori2.png;magnit;L;0;blueblackhori.png;0.0;10.0;;horiAA.png
29;trial;;;;;;;;;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;parity;A;0;blueblackvert.png;0.0;11.0;;horiAA.png
30;trial;;;;;;;;;blue;black;hori;2;blueblackhori.png;blueblackhori2.png;magnit;L;0;blueblackhori.png;0.0;12.0;;horiAA.png
